[2026-08-24 11:17:59] INFO: GET /api/headquarters - Origin: Unknown
[2026-08-24 11:17:59] INFO: GET /api/players - Origin: Unknown
[2026-08-24 11:18:07] INFO: GET /api/tournaments - Origin: Unknown
[2026-08-24 11:18:07] INFO: GET /api/matches - Origin: Unknown
[2026-08-24 11:18:07] INFO: GET /api/categories - Origin: Unknown
[2026-08-24 11:28:48] INFO: GET /api/tournaments - Origin: Unknown
[2026-08-24 11:28:48] INFO: GET /api/matches - Origin: Unknown
[2026-08-24 11:28:48] INFO: GET /api/categories - Origin: Unknown
[2026-08-24 11:28:49] INFO: GET /api/tournaments - Origin: Unknown
[2026-08-24 11:28:49] INFO: GET /api/stats/standings/628e2b69-ca72-4321-a95a-a7645d2c82ce - Origin: Unknown
[2026-08-24 11:28:51] INFO: GET /api/tournaments - Origin: Unknown
[2026-08-24 11:28:52] INFO: GET /api/stats/standings/628e2b69-ca72-4321-a95a-a7645d2c82ce - Origin: Unknown
[2026-08-24 11:29:02] INFO: POST /api/auth/login - Origin: http://localhost:3000
[2026-08-24 11:29:02] INFO: GET /api/module-access/me - Origin: Unknown
[2026-08-24 11:29:02] INFO: GET /api/server-time - Origin: Unknown
[2026-08-24 11:29:02] INFO: GET /api/matches - Origin: Unknown
[2026-08-24 11:29:04] INFO: GET /api/match-lineups/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:04] INFO: GET /api/suspensions - Origin: Unknown
[2026-08-24 11:29:04] INFO: GET /api/referees - Origin: Unknown
[2026-08-24 11:29:05] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:05] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:06] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:08] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:08] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:11] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:11] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:14] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:14] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:17] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:17] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:20] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:20] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:23] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:23] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:26] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:26] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:29] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:29] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:32] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:32] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:35] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:35] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:38] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:38] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:41] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:41] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:44] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:44] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:47] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:47] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:50] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:50] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:53] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:53] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:56] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:56] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:59] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:29:59] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:02] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:02] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:05] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:05] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:08] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:08] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:11] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:11] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:14] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:14] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:17] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:17] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:20] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:20] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:23] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:23] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:26] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:26] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:29] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:29] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:32] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:32] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:35] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:35] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:38] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:38] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:41] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:41] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:44] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:44] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:47] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:47] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:50] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:50] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:53] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:53] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:56] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:30:56] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:31:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:31:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:32:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:32:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:33:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:33:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:34:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:34:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:35:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:35:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:36:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:36:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:37] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:37] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:47] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:47] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:50] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:50] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:53] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:53] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:56] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:56] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:59] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:37:59] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:02] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:02] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:05] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:05] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:08] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:08] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:11] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:11] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:14] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:14] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:17] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:17] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:20] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:20] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:23] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:38:23] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
